#Drug	Gene	DrugBankID	SMILES
DB01213	P07327	DB01213	CC1=CNN=C1
DB06701	P10635	DB06701	NaN
DB08875	P35968	DB08875	NaN
DB01059	P20815	DB01059	CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
DB01267	P08684	DB01267	CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1
DB00543	P34969	DB00543	NaN
DB03345	Q04760	DB03345	OCCS
DB00231	P11712	DB00231	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00015	Q03405	DB00015	NaN
DB00243	Q15858	DB00243	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00328	P23141	DB00328	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
DB01018	P11712	DB01018	NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
DB06730	P20815	DB06730	CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C
DB07086	Q15596	DB07086	[H][C@@]12C[C@@](CO)(CO[C@]1([H])C1=CC=C(O)C=C1)CC=C2C
DB01268	P09619	DB01268	CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
DB00678	O75795	DB00678	CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DB00313	Q9Y5Y9	DB00313	NaN
DB01015	P18440	DB01015	CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
DB00078	P11836	DB00078	NaN
DB01280	Q16854	DB01280	COC1=NC(N)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB04917	P46098	DB04917	COC1=C(C=CC(N)=C1Cl)C(=O)NC1CCN2CCCC1C2
DB01079	P05177	DB01079	CCCCC\N=C(/N)NN\C=C1/C=NC2=C1C=C(CO)C=C2
DB01005	P10635	DB01005	NC(=O)NO
DB00518	P68371	DB00518	CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
DB00321	P35367	DB00321	NaN
DB02818	P42262	DB02818	N[C@@H](CN1C=C(I)C(=O)NC1=O)C(O)=O
DB00541	P20815	DB00541	[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC
DB02221	P00918	DB02221	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=C(F)C=C1F
DB00543	P35462	DB00543	NaN
DB07447	P51857	DB07447	[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
DB00402	P48169	DB00402	CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1
DB07708	P03372	DB07708	OC1=CC=C(C=C1)N1N=C2C=CC(O)=CC2=C1Cl
DB00253	P04150	DB00253	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00818	O00591	DB00818	CC(C)C1=CC=CC(C(C)C)=C1O
DB00145	O75311	DB00145	NCC(O)=O
DB01279	O60664	DB01279	NaN
DB00852	Q9Y2D1	DB00852	CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DB03536	Q9UBX1	DB03536	[H][C@@](C)(NC(=O)[C@]([H])(CCCNC(N)N)NC(=O)OCC1=CC=CC=C1)C(C)=O
DB00882	P11511	DB00882	NaN
DB01130	P04150	DB01130	CCOC(=O)OC1(CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C)C(=O)COC(=O)CC
DB01645	P11388	DB01645	OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O
DB05481	P01009	DB05481	NaN
DB04493	P09467	DB04493	OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB06695	O60656	DB06695	CCCCCCOC(=O)N=C(N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1
DB00835	P08173	DB00835	NaN
DB07628	P14618	DB07628	NaN
DB00347	P10632	DB00347	NaN
DB01012	P41180	DB01012	NaN
DB00707	P01130	DB00707	NaN
DB01090	P32297	DB01090	NaN
DB01628	P08684	DB01628	CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O
DB08889	P40306	DB08889	CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
DB00604	P11509	DB00604	CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC
DB01403	P21918	DB01403	NaN
DB01708	P28472	DB01708	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C
DB07374	Q96L21	DB07374	[H][C@]1(O)CN[C@]([H])(CC2=CC=C(OC)C=C2)[C@]1([H])OC(C)=O
DB00586	O43526	DB00586	OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
DB01200	P34969	DB01200	[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
DB00134	Q9NZV6	DB00134	CSCC[C@H](N)C(O)=O
DB04315	Q8N142	DB04315	NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](O)[C@H]2O)C(=O)N1
DB06042	P07437	DB06042	NaN
DB06716	P05186	DB06716	CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O
DB00659	P47869	DB00659	CC(=O)NCCCS(O)(=O)=O
DB04714	O95749	DB04714	NaN
DB00721	Q9NPA1	DB00721	NaN
DB07772	P22894	DB07772	[H][C@](NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(OC)C=C1)(C(C)C)P(O)(O)=O
DB03701	P08684	DB03701	[O-][N+](=O)C1=CC(=C(N\N=C(/CCl)C2=CC=CC=C2)C=C1)[N+]([O-])=O
DB06861	P00734	DB06861	[H][C@](CCCCC(N)=N)(C=O)[C@@]1([H])CCC[C@]1([H])O
DB00005	P01374	DB00005	NaN
DB00877	P20815	DB00877	[H][C@@]1(C[C@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC
DB00146	P11473	DB00146	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00074	P00736	DB00074	NaN
DB00178	P06276	DB00178	[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB08394	P01857	DB08394	OC(=O)CNC(=O)CCC[P@](O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O
DB00034	P17181	DB00034	NaN
DB01227	P20815	DB01227	NaN
DB01567	Q8N1C3	DB01567	NaN
DB07063	P15121	DB07063	OC(=O)CN1C=C(CC2=NC3=C(S2)C(F)=CC(F)=C3F)C2=C1C=CC=C2
DB07019	P56817	DB07019	NaN
DB02353	P13501	DB02353	OC[C@@H]1O[C@H](O)[C@@H](NS([O-])(=O)=O)[C@H](O)[C@H]1O[C@@H]1OC(=C[C@@H](O)[C@H]1OS([O-])(=O)=O)C([O-])=O
DB01355	P34903	DB01355	NaN
DB00898	P08319	DB00898	CCO
DB00574	P31645	DB00574	NaN
DB01250	P51580	DB01250	OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O
DB01174	Q05586	DB01174	NaN
DB01028	Q9UN88	DB01028	NaN
DB00564	Q14524	DB00564	NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
DB00281	Q14524	DB00281	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
DB00313	Q15858	DB00313	NaN
DB01215	P18505	DB01215	ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1
DB01174	P13584	DB01174	NaN
DB04315	O60547	DB04315	NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](O)[C@H]2O)C(=O)N1
DB06697	P11712	DB06697	NaN
DB06926	P37231	DB06926	[H][C@](O)(CCCCC)\C=C\C=C/CCCCCCCC(O)=O
DB00763	P08684	DB00763	CN1C=CNC1=S
DB08596	P07998	DB08596	[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CN1CCCCC1)N1C=C(C)C(=O)NC1=O
DB00936	Q04828	DB00936	OC(=O)C1=CC=CC=C1O
DB00313	P11712	DB00313	NaN
DB01174	P43681	DB01174	NaN
DB00753	P48169	DB00753	NaN
DB08819	P35354	DB08819	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\C(F)(F)COC1=CC=CC=C1
DB00575	P20815	DB00575	NaN
DB00143	O15217	DB00143	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00224	P24462	DB00224	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00613	P10635	DB00613	CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
DB02052	P24941	DB02052	O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2
DB06918	P07477	DB06918	CC1=CC=CC=C1C1=CC2=C(N1)C=C(C=C2)C(N)=N
DB00804	P11229	DB00804	NaN
DB02767	O00206	DB02767	[H][C@@](O)(CCCCCCCCCCC)CC(O)=O
DB07587	P25774	DB07587	[H][C@@](CS(=O)(=O)C[C@]1([H])CCC(=O)N1)(N[C@@]([H])(C1=CC=C(F)C=C1)C(F)(F)F)C(=O)NC1(CC1)C#N
DB00114	O75600	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB01267	P35462	DB01267	CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1
DB07335	P12931	DB07335	CC(C)N1N=C(C2=C1N=CN=C2N)C1=CC=CC(O)=C1
DB07378	P16442	DB07378	[H][C@]1(N)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCCCC)[C@]1([H])O
DB00121	Q96RQ3	DB00121	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB00162	O94788	DB00162	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00073	P00736	DB00073	NaN
DB01380	P08684	DB01380	[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB02952	P01303	DB02952	CC(C)(N)C(O)=O
DB00585	P06276	DB00585	NaN
DB00241	P47869	DB00241	NaN
DB02825	P22303	DB02825	NaN
DB06612	P05113	DB06612	NaN
DB00935	P35368	DB00935	CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
DB00457	P35348	DB00457	NaN
DB00189	P28472	DB00189	[H]C(Cl)=CC(O)(CC)C#C
DB00502	P14416	DB00502	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
DB00659	P78334	DB00659	CC(=O)NCCCS(O)(=O)=O
DB01013	P04150	DB01013	[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB02325	Q13838	DB02325	CC(C)O
DB09143	Q99835	DB09143	OP(O)(O)=O.OP(O)(O)=O.[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=NC=C(C=C1)N=C(O)C1=CC=CC(=C1C)C1=CC=C(OC(F)(F)F)C=C1
DB00342	P08172	DB00342	CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DB00333	P11712	DB00333	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
DB00835	P33261	DB00835	NaN
DB00624	Q9HB55	DB00624	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB03551	P00491	DB03551	OC[C@H]1CN(CC2=CN[C@@H]3[C@H]2N=CNC3=O)C[C@@H]1O
DB00409	Q99720	DB00409	CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC
DB04574	Q92731	DB04574	C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O
DB04599	P42263	DB04599	NaN
DB02379	P02144	DB02379	OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
DB05423	P04150	DB05423	NaN
DB05812	P05093	DB05812	[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
DB07584	P31749	DB07584	CC1=NN=C(N1)C1=CC=CC=C1NC1=NC=NC2=C1C=CN2
DB01063	P21728	DB01063	CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1
DB00715	P11712	DB00715	NaN
DB00458	P05177	DB00458	NaN
DB00333	P41143	DB00333	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
DB01182	P05177	DB01182	CCCNCC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1
DB00862	Q13956	DB00862	CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1
DB03844	P00918	DB03844	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=CC=C1F
DB04522	Q9UL54	DB04522	N[C@@H](COP(O)(O)=O)C(O)=O
DB01363	P08588	DB01363	NaN
DB00765	P07101	DB00765	C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O
DB00408	Q01959	DB00408	NaN
DB01577	P10635	DB01577	NaN
DB06274	P35372	DB06274	C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1
DB08927	P28223	DB08927	NaN
DB00157	P04406	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00550	P07202	DB00550	CCCC1=CC(=O)NC(=S)N1
DB07139	P15121	DB07139	OC(=O)CCC1=CC=C(S1)C1=CC(=CC=C1)[N+]([O-])=O
DB08899	P10275	DB08899	CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F
DB01273	P36544	DB01273	NaN
DB00119	O60669	DB00119	CC(=O)C(O)=O
DB00177	P30556	DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00820	Q9HCR9	DB00820	[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
DB00852	P01375	DB00852	CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DB01029	P10635	DB01029	CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DB01209	P41145	DB01209	[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N
DB01351	P47869	DB01351	NaN
DB05766	P35462	DB05766	NaN
DB04237	P04745	DB04237	NC(CCO)(CCO)CCO
DB08391	Q9Y233	DB08391	NaN
DB06589	Q9UQQ2	DB06589	CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1
DB00312	P18505	DB00312	NaN
DB02073	P30043	DB02073	NaN
DB06148	P20813	DB06148	NaN
DB08696	Q15648	DB08696	CC[C@@](C)([H])[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C/C=C1C[C@](O)([H])C(=C)[C@@](O)([H])C1
DB00201	Q9NP56	DB00201	NaN
DB00157	Q00796	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00576	P11712	DB00576	CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1
DB01365	P18089	DB01365	NaN
DB01708	Q8N1C3	DB01708	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C
DB08954	Q05586	DB08954	CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1
DB09079	P35968	DB09079	COC(=O)C1=CC2=C(C=C1)\C(=C(\NC1=CC=C(C=C1)N(C)C(=O)CN1CCN(C)CC1)C1=CC=CC=C1)C(O)=N2
DB00454	O15399	DB00454	NaN
DB01221	P08684	DB01221	CNC1(CCCCC1=O)C1=CC=CC=C1Cl
DB05900	P00533	DB05900	NaN
DB00819	P00915	DB00819	CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DB00155	Q6TGC4	DB00155	N[C@@H](CCCNC(N)=O)C(O)=O
DB01205	Q99928	DB01205	NaN
DB00458	P33260	DB00458	NaN
DB06828	P09960	DB06828	C(CN1C=CC=C1)OC1=CC2=C(NC=C2)C=C1
DB00526	P30711	DB00526	NaN
DB03758	P14625	DB03758	[H][C@@]12CCCCC(=O)C[C@@]3([H])[C@]([H])(Cl)C(=O)CC(=O)[C@@]3([H])C(=O)O[C@]([H])(C)C[C@@]1([H])O2
DB08342	Q86SZ2	DB08342	[H][C@](N)(CSC(=O)CCCCCCCCCCCCCCC)C(O)=O
DB01043	P46098	DB01043	NaN
DB01142	P11229	DB01142	NaN
DB00398	O60656	DB00398	CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
DB00199	P20815	DB00199	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB06712	P08684	DB06712	NaN
DB00759	Q9UM07	DB00759	[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
DB04831	P11712	DB04831	OC(=O)COC1=C(Cl)C(Cl)=C(C=C1)C(=O)C1=CC=CS1
DB00703	P33261	DB00703	CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O
DB00842	Q9HB55	DB00842	OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
DB09078	P08684	DB09078	COC1=C(C=C2C(OC3=CC(Cl)=C(NC(O)=NC4CC4)C=C3)=CC=NC2=C1)C(O)=N
DB04275	P35270	DB04275	CC(=O)NCCC1=CNC2=C1C=C(O)C=C2
DB05184	P00519	DB05184	NaN
DB01830	P06239	DB01830	CC(=O)N[C@@H](CC1=CC=C(C(=C1)P(O)(O)=O)P(O)(O)=O)C(=O)N[C@@H]1CCCCC2=CC(OCC3CCCCC3)=C(C=C12)C(N)=O
DB00580	P35354	DB00580	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
DB00850	P21728	DB00850	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
DB01664	P42262	DB01664	N[C@@H](CC1=CONC1=O)C(O)=O
DB07146	P06239	DB07146	NaN
DB04855	P10635	DB04855	CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
DB00783	Q92731	DB00783	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DB01278	P30988	DB01278	NaN
DB07506	Q9HB40	DB07506	NaN
DB00526	P05164	DB00526	NaN
DB00643	P04798	DB00643	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1
DB02255	P16112	DB02255	[H][C@@](CC(C)C)(CC(=O)NO)C(=O)N[C@@]([H])(CC1=CNC2=CC=CC=C12)C(=O)NC
DB07602	P00533	DB07602	[H][C@](N)(CSCCC(=O)NC1=CC2=C(C=C1)N=CN=C2NC1=CC=CC=C1)C(O)=O
DB00028	P0C0L4	DB00028	NaN
DB01388	P05177	DB01388	COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C
DB00173	Q9BY49	DB00173	NC1=C2NC=NC2=NC=N1
DB01577	P08913	DB01577	NaN
DB00764	P10632	DB00764	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00921	P41145	DB00921	CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
DB00772	P06276	DB00772	NaN
DB01235	P21918	DB01235	N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
DB07298	P18031	DB07298	OC(=O)COC1=C(SC2=NC=CC=C12)C(O)=O
DB07513	P27338	DB07513	NaN
DB05260	P01584	DB05260	NaN
DB00381	P17405	DB00381	NaN
DB00110	O75015	DB00110	NaN
DB00984	P10275	DB00984	[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
DB01361	P11509	DB01361	CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
DB01772	P49841	DB01772	[H][C@@](O)(CO)CNC1=CC=CC(=C1)C1=C(C(=O)NC1=O)C1=CN(C)C2=CC=C(F)C=C12
DB00312	P14867	DB00312	NaN
DB04530	P11309	DB04530	N[C@@H](CSSCCO)C(O)=O
DB03760	P10515	DB03760	[H][C@](S)(CCS)CCCCC(O)=O
DB00276	P11388	DB00276	COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
DB00139	Q9UBX3	DB00139	NaN
DB02052	P49841	DB02052	O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2
DB01129	P33261	DB01129	COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1
DB08384	Q9Y233	DB08384	C(OC1=CC=C(C=C1)C1=NNC=C1CC1=CC=NC=C1)C1=NC2=CC=CC=C2C=C1
DB06292	P16662	DB06292	O.CC(O)CO.CCOC1=CC=C(CC2=CC(=CC=C2Cl)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1
DB04844	P16152	DB04844	COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1
DB07870	O00763	DB07870	[H][C@](C)(OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O
DB04751	Q9Y6M4	DB04751	[H][C@@](CO)(NC1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1)C(C)C
DB07026	P39900	DB07026	[H][C@]12CN(C[C@]([H])(O1)[C@@]([H])(O2)C(=O)NCC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)NO
DB01594	P14867	DB01594	OC1N=C(C2=CC=CC=C2F)C2=C(C=CC(Cl)=C2)N(CCC#N)C1=O
DB06637	P22459	DB06637	NC1=CC=NC=C1
DB01843	P11217	DB01843	NN1C(=O)N[C@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O
DB08389	Q9Y233	DB08389	NaN
DB08099	P00797	DB08099	[H][C@]1(CCC2=CC=C(C=C2N1CCCOC)C1=C(N)N=C(N)N=C1CC)C1=CC=CC=C1
DB01028	P42261	DB01028	NaN
DB00213	P33261	DB00213	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB02148	P07858	DB02148	CC(=O)[C@@H](N)COCC1=CC=CC=C1
DB07288	P17948	DB07288	ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1
DB01558	P33261	DB01558	BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1
DB00501	P25021	DB00501	C\N=C(\NCCSCC1=C(C)NC=N1)NC#N
DB00544	P05177	DB00544	FC1=CNC(=O)NC1=O
DB01234	P04798	DB01234	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB04915	Q16206	DB04915	OC1=CC=C(C=C1)C1=CC2=C(OC1)C=C(O)C=C2
DB00850	P08684	DB00850	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
DB07177	Q8N8N7	DB07177	[H][C@@]1(O)CC(=O)[C@@]([H])(C\C=C\CCCC(O)=O)[C@]1([H])\C=C\C(=O)CCCCC
DB07979	P14920	DB07979	OC(=O)C(=N)CC1=CC(O)=C(O)C=C1
DB00568	P11509	DB00568	NaN
DB00622	P08912	DB00622	NaN
DB02008	P35558	DB02008	CCCCN1C2=C(NC(CC3=CC=C(NC(C)=O)C=C3)=N2)C(=O)N(CC2=CC=CC=C2F)C1=O
DB06439	P06858	DB06439	NaN
